position,category_key,category_label,sticker_number,team_name,driver_name,codriver_name,total_points,total_timing_ms,total_timing_label,shivneri_time,shivneri_points,shivneri_rank,shivneri_day,raigad_time,raigad_points,raigad_rank,raigad_day,paratapgad_time,paratapgad_points,paratapgad_rank,paratapgad_day,harihar_time,harihar_points,harihar_rank,harihar_day,vasota_time,vasota_points,vasota_rank,vasota_day,lohgad_time,lohgad_points,lohgad_rank,lohgad_day,sarasgad_time,sarasgad_points,sarasgad_rank,sarasgad_day
1,DIESEL_MODIFIED,Diesel Modified,201,Diesel Modified Trail Blazers 01,Aarav Patil,Vivaan More,100,790,,00:00:79,100,P1,D1,,,,,,,,,,,,,,,,,,,,,,,,
2,DIESEL_MODIFIED,Diesel Modified,202,Diesel Modified Ridge Runners 02,Ishaan Jadhav,Reyansh Pawar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,DIESEL_MODIFIED,Diesel Modified,203,Diesel Modified Mud Masters 03,Arjun Shinde,Kabir Deshmukh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DIESEL_MODIFIED,Diesel Modified,204,Diesel Modified Rock Crawlers 04,Aditya Kadam,Rohan Kulkarni,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,DIESEL_MODIFIED,Diesel Modified,205,Diesel Modified Valley Torque 05,Sahil Mane,Nikhil Chavan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,DIESEL_MODIFIED,Diesel Modified,206,Diesel Modified Hill Command 06,Omkar Bhosale,Pranav Ghorpade,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DIESEL_MODIFIED,Diesel Modified,207,Diesel Modified Forest Line 07,Yash Salunkhe,Sanket Sawant,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DIESEL_MODIFIED,Diesel Modified,208,Diesel Modified Cliff Riders 08,Atharva Khot,Harshad Gaikwad,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DIESEL_MODIFIED,Diesel Modified,209,Diesel Modified Summit Drive 09,Rudra Nalawade,Tejas Patankar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DIESEL_MODIFIED,Diesel Modified,210,Diesel Modified River Cross 10,Kunal Suryavanshi,Sameer Nikam,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DIESEL_MODIFIED,Diesel Modified,211,Diesel Modified Ghat Warriors 11,Prathamesh Kale,Abhay Dhere,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DIESEL_MODIFIED,Diesel Modified,212,Diesel Modified Dune Patrol 12,Siddharth Pujari,Ninad Lokhande,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DIESEL_MODIFIED,Diesel Modified,213,Diesel Modified Torque Tribe 13,Mihir Joshi,Tanishq Mahadik,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,DIESEL_MODIFIED,Diesel Modified,214,Diesel Modified Axle Squad 14,Vedant Karmarkar,Saurabh Bendre,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,DIESEL_MODIFIED,Diesel Modified,215,Diesel Modified Canyon Crew 15,Parth Sathe,Shreyas Inamdar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
