position,category_key,category_label,sticker_number,team_name,driver_name,codriver_name,total_points,total_timing_ms,total_timing_label,k2_time,k2_points,k2_rank,k2_day,everest_time,everest_points,everest_rank,everest_day,sahyadri_time,sahyadri_points,sahyadri_rank,sahyadri_day,himalaya_time,himalaya_points,himalaya_rank,himalaya_day,kalasubai_time,kalasubai_points,kalasubai_rank,kalasubai_day,valmiki_time,valmiki_points,valmiki_rank,valmiki_day,satpuda_time,satpuda_points,satpuda_rank,satpuda_day
1,JIMNY_SUV,Jimny SUV,701,Jimny SUV Trail Blazers 01,Aarav Patil,Vivaan More,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,JIMNY_SUV,Jimny SUV,702,Jimny SUV Ridge Runners 02,Ishaan Jadhav,Reyansh Pawar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,JIMNY_SUV,Jimny SUV,703,Jimny SUV Mud Masters 03,Arjun Shinde,Kabir Deshmukh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,JIMNY_SUV,Jimny SUV,704,Jimny SUV Rock Crawlers 04,Aditya Kadam,Rohan Kulkarni,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,JIMNY_SUV,Jimny SUV,705,Jimny SUV Valley Torque 05,Sahil Mane,Nikhil Chavan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,JIMNY_SUV,Jimny SUV,706,Jimny SUV Hill Command 06,Omkar Bhosale,Pranav Ghorpade,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,JIMNY_SUV,Jimny SUV,707,Jimny SUV Forest Line 07,Yash Salunkhe,Sanket Sawant,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,JIMNY_SUV,Jimny SUV,708,Jimny SUV Cliff Riders 08,Atharva Khot,Harshad Gaikwad,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JIMNY_SUV,Jimny SUV,709,Jimny SUV Summit Drive 09,Rudra Nalawade,Tejas Patankar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,JIMNY_SUV,Jimny SUV,710,Jimny SUV River Cross 10,Kunal Suryavanshi,Sameer Nikam,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,JIMNY_SUV,Jimny SUV,711,Jimny SUV Ghat Warriors 11,Prathamesh Kale,Abhay Dhere,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,JIMNY_SUV,Jimny SUV,712,Jimny SUV Dune Patrol 12,Siddharth Pujari,Ninad Lokhande,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,JIMNY_SUV,Jimny SUV,713,Jimny SUV Torque Tribe 13,Mihir Joshi,Tanishq Mahadik,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,JIMNY_SUV,Jimny SUV,714,Jimny SUV Axle Squad 14,Vedant Karmarkar,Saurabh Bendre,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,JIMNY_SUV,Jimny SUV,715,Jimny SUV Canyon Crew 15,Parth Sathe,Shreyas Inamdar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
