position,category_key,category_label,sticker_number,team_name,driver_name,codriver_name,total_points,total_timing_ms,total_timing_label,k2_time,k2_points,k2_rank,k2_day,everest_time,everest_points,everest_rank,everest_day,sahyadri_time,sahyadri_points,sahyadri_rank,sahyadri_day,himalaya_time,himalaya_points,himalaya_rank,himalaya_day,kalasubai_time,kalasubai_points,kalasubai_rank,kalasubai_day,valmiki_time,valmiki_points,valmiki_rank,valmiki_day,satpuda_time,satpuda_points,satpuda_rank,satpuda_day
1,LADIES_CATEGORY,Ladies Category,1001,Ladies Category Trail Blazers 01,Aarav Patil,Vivaan More,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LADIES_CATEGORY,Ladies Category,1002,Ladies Category Ridge Runners 02,Ishaan Jadhav,Reyansh Pawar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LADIES_CATEGORY,Ladies Category,1003,Ladies Category Mud Masters 03,Arjun Shinde,Kabir Deshmukh,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,LADIES_CATEGORY,Ladies Category,1004,Ladies Category Rock Crawlers 04,Aditya Kadam,Rohan Kulkarni,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,LADIES_CATEGORY,Ladies Category,1005,Ladies Category Valley Torque 05,Sahil Mane,Nikhil Chavan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LADIES_CATEGORY,Ladies Category,1006,Ladies Category Hill Command 06,Omkar Bhosale,Pranav Ghorpade,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,LADIES_CATEGORY,Ladies Category,1007,Ladies Category Forest Line 07,Yash Salunkhe,Sanket Sawant,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,LADIES_CATEGORY,Ladies Category,1008,Ladies Category Cliff Riders 08,Atharva Khot,Harshad Gaikwad,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LADIES_CATEGORY,Ladies Category,1009,Ladies Category Summit Drive 09,Rudra Nalawade,Tejas Patankar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LADIES_CATEGORY,Ladies Category,1010,Ladies Category River Cross 10,Kunal Suryavanshi,Sameer Nikam,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,LADIES_CATEGORY,Ladies Category,1011,Ladies Category Ghat Warriors 11,Prathamesh Kale,Abhay Dhere,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LADIES_CATEGORY,Ladies Category,1012,Ladies Category Dune Patrol 12,Siddharth Pujari,Ninad Lokhande,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LADIES_CATEGORY,Ladies Category,1013,Ladies Category Torque Tribe 13,Mihir Joshi,Tanishq Mahadik,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LADIES_CATEGORY,Ladies Category,1014,Ladies Category Axle Squad 14,Vedant Karmarkar,Saurabh Bendre,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LADIES_CATEGORY,Ladies Category,1015,Ladies Category Canyon Crew 15,Parth Sathe,Shreyas Inamdar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
