category_key,category_label,sr_no,sticker_number,team_name,driver_name,codriver_name,track_name,selected_day_id,selected_day_label,selected_day_date,rank,points,completion_time,performance_time,performance_time_ms,total_penalties_time,total_time,total_time_ms,track_timer_limit_display,bunting_count,bunting_penalty_time,pole_down_count,pole_down_penalty_time,seatbelt_count,seatbelt_penalty_time,ground_touch_count,ground_touch_penalty_time,late_start_mode,late_start_status,late_start_count,late_start_penalty_time,late_start_penalty_points,attempt_count,attempt_penalty_time,task_skipped_count,task_skipped_penalty_time,is_dns,is_dnf,wrong_course_selected,fourth_attempt_selected,time_over_selected,vehicle_out_of_track_selected,vehicle_breakdown_selected,dnf_selection,dnf_points,dispute_details,dispute_resolutions,dispute_signatures,dispute_signed_by,dispute_resolution_status,dispute_resolution_label,submission_json
JIMNY_SUV,Jimny SUV,1,47,DAKKHAN OFFROADERS,RUDRA PATIL,ROHIT POWAR,K2,day-1,Day 1,"Friday, 29th May 2026",P1,100,06:15:58,06:15:58,375586,0,06:15:58,375586,10:00.0,0,0,0,0,0,0,0,0,,No,0,0,0,0,0,0,0,0,false,false,false,false,false,false,,0,[],{},"{""byTeam"":{""driver"":false,""coDriver"":false}}",[],,,"{""disputeId"":null,""source"":""records"",""disputeDetails"":[],""disputeResolutions"":{},""dispute_resolutions"":{},""disputeSignatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""dispute_signatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""disputeSignedBy"":[],""dispute_signed_by"":[],""resolveDisputeCategory"":"""",""disputeResolutionStatus"":"""",""disputeResolutionLabel"":"""",""selectedDayId"":""day-1"",""selectedDayLabel"":""Day 1"",""selectedDayDate"":""Friday, 29th May 2026"",""trackName"":""K2"",""category"":""Jimny SUV"",""srNo"":""1"",""teamName"":""DAKKHAN OFFROADERS"",""stickerNumber"":""47"",""driverName"":""RUDRA PATIL"",""coDriverName"":""ROHIT POWAR"",""completionTime"":""06:15:58"",""completionTimeMilliseconds"":375586,""performanceTimeDisplay"":""06:15:58"",""trackTimerLimitSeconds"":600,""trackTimerLimitDisplay"":""10:00.0"",""bustingCount"":""0"",""poleDownCount"":""0"",""seatbeltCount"":""0"",""groundTouchCount"":""0"",""lateStartMode"":"""",""lateStartStatus"":""No"",""lateStartPenaltyTime"":0,""lateStartPenaltyPoints"":0,""attemptCount"":""0"",""taskSkippedCount"":""0"",""isDNF"":false,""isDNS"":false,""wrongCourseSelected"":false,""fourthAttemptSelected"":false,""timeOverSelected"":false,""vehicleOutOfTrackSelected"":false,""vehicleBreakdownSelected"":false,""dnfSelection"":"""",""dnfPoints"":0,""bustingPenaltyTime"":0,""poleDownPenaltyTime"":0,""seatbeltPenaltyTime"":0,""groundTouchPenaltyTime"":0,""attemptPenaltyTime"":0,""taskSkippedPenaltyTime"":0,""totalPenaltiesTime"":0,""totalTimeMilliseconds"":375586,""totalTimeDisplay"":""06:15:58"",""selected_day_id"":""day-1"",""selected_day_label"":""Day 1"",""selected_day_date"":""Friday, 29th May 2026""}"
JIMNY_SUV,Jimny SUV,1,47,DAKKHAN OFFROADERS,RUDRA PATIL,ROHIT POWAR,EVEREST,day-1,Day 1,"Friday, 29th May 2026",DNF,20,DNF,DNF - Vehicle Breakdown,203101,0,DNF - Vehicle Breakdown,203101,10:00.0,0,0,0,0,0,0,0,0,,No,0,0,0,0,0,0,0,0,true,false,false,false,false,true,20 points,20,[],{},"{""byTeam"":{""driver"":false,""coDriver"":false}}",[],,,"{""disputeId"":null,""source"":""records"",""disputeDetails"":[],""disputeResolutions"":{},""dispute_resolutions"":{},""disputeSignatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""dispute_signatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""disputeSignedBy"":[],""dispute_signed_by"":[],""resolveDisputeCategory"":"""",""disputeResolutionStatus"":"""",""disputeResolutionLabel"":"""",""selectedDayId"":""day-1"",""selectedDayLabel"":""Day 1"",""selectedDayDate"":""Friday, 29th May 2026"",""trackName"":""EVEREST"",""category"":""Jimny SUV"",""srNo"":""1"",""teamName"":""DAKKHAN OFFROADERS"",""stickerNumber"":""47"",""driverName"":""RUDRA PATIL"",""coDriverName"":""ROHIT POWAR"",""completionTime"":""DNF"",""completionTimeMilliseconds"":203101,""performanceTimeDisplay"":""DNF - Vehicle Breakdown"",""trackTimerLimitSeconds"":600,""trackTimerLimitDisplay"":""10:00.0"",""bustingCount"":""0"",""poleDownCount"":""0"",""seatbeltCount"":""0"",""groundTouchCount"":""0"",""lateStartMode"":"""",""lateStartStatus"":""No"",""lateStartPenaltyTime"":0,""lateStartPenaltyPoints"":0,""attemptCount"":""0"",""taskSkippedCount"":""0"",""isDNF"":true,""isDNS"":false,""wrongCourseSelected"":false,""fourthAttemptSelected"":false,""timeOverSelected"":false,""vehicleOutOfTrackSelected"":false,""vehicleBreakdownSelected"":true,""dnfSelection"":""20 points"",""dnfPoints"":20,""bustingPenaltyTime"":0,""poleDownPenaltyTime"":0,""seatbeltPenaltyTime"":0,""groundTouchPenaltyTime"":0,""attemptPenaltyTime"":0,""taskSkippedPenaltyTime"":0,""totalPenaltiesTime"":0,""totalTimeMilliseconds"":203101,""totalTimeDisplay"":""DNF - Vehicle Breakdown"",""selected_day_id"":""day-1"",""selected_day_label"":""Day 1"",""selected_day_date"":""Friday, 29th May 2026""}"
JIMNY_SUV,Jimny SUV,2,47,DAKKHAN OFFROADERS,RUDRA PATIL,ROHIT POWAR,SAHYADRI,day-2,Day 2,"Saturday, 30th May 2026",P1,100,04:25:12,04:25:12,265126,80,05:45:12,345126,10:00.0,0,0,1,20,2,60,0,0,,No,0,0,0,0,0,0,0,0,false,false,false,false,false,false,,0,[],{},"{""byTeam"":{""driver"":false,""coDriver"":false}}",[],,,"{""disputeId"":null,""source"":""records"",""disputeDetails"":[],""disputeResolutions"":{},""dispute_resolutions"":{},""disputeSignatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""dispute_signatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""disputeSignedBy"":[],""dispute_signed_by"":[],""resolveDisputeCategory"":"""",""disputeResolutionStatus"":"""",""disputeResolutionLabel"":"""",""selectedDayId"":""day-2"",""selectedDayLabel"":""Day 2"",""selectedDayDate"":""Saturday, 30th May 2026"",""trackName"":""SAHYADRI"",""category"":""Jimny SUV"",""srNo"":""2"",""teamName"":""DAKKHAN OFFROADERS"",""stickerNumber"":""47"",""driverName"":""RUDRA PATIL"",""coDriverName"":""ROHIT POWAR"",""completionTime"":""04:25:12"",""completionTimeMilliseconds"":265126,""performanceTimeDisplay"":""04:25:12"",""trackTimerLimitSeconds"":600,""trackTimerLimitDisplay"":""10:00.0"",""bustingCount"":""0"",""poleDownCount"":""1"",""seatbeltCount"":""2"",""groundTouchCount"":""0"",""lateStartMode"":"""",""lateStartStatus"":""No"",""lateStartPenaltyTime"":0,""lateStartPenaltyPoints"":0,""attemptCount"":""0"",""taskSkippedCount"":""0"",""isDNF"":false,""isDNS"":false,""wrongCourseSelected"":false,""fourthAttemptSelected"":false,""timeOverSelected"":false,""vehicleOutOfTrackSelected"":false,""vehicleBreakdownSelected"":false,""dnfSelection"":"""",""dnfPoints"":0,""bustingPenaltyTime"":0,""poleDownPenaltyTime"":20,""seatbeltPenaltyTime"":60,""groundTouchPenaltyTime"":0,""attemptPenaltyTime"":0,""taskSkippedPenaltyTime"":0,""totalPenaltiesTime"":80,""totalTimeMilliseconds"":345126,""totalTimeDisplay"":""05:45:12"",""selected_day_id"":""day-2"",""selected_day_label"":""Day 2"",""selected_day_date"":""Saturday, 30th May 2026""}"
JIMNY_SUV,Jimny SUV,1,47,DAKKHAN OFFROADERS,RUDRA PATIL,ROHIT POWAR,HIMALAYA,day-1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIMNY_SUV,Jimny SUV,1,47,DAKKHAN OFFROADERS,RUDRA PATIL,ROHIT POWAR,KALASUBAI,day-1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIMNY_SUV,Jimny SUV,1,47,DAKKHAN OFFROADERS,RUDRA PATIL,ROHIT POWAR,VALMIKI,day-1,D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JIMNY_SUV,Jimny SUV,1,47,DAKKHAN OFFROADERS,RUDRA PATIL,ROHIT POWAR,SATPUDA,day-2,Day 2,"Saturday, 30th May 2026",P1,100,06:37:57,06:37:57,397573,150,09:07:57,547573,10:00.0,0,0,3,60,0,0,0,0,,No,0,0,0,0,0,1,90,0,false,false,false,false,false,false,,0,[],{},"{""byTeam"":{""driver"":false,""coDriver"":false}}",[],,,"{""disputeId"":null,""source"":""records"",""disputeDetails"":[],""disputeResolutions"":{},""dispute_resolutions"":{},""disputeSignatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""dispute_signatures"":{""byTeam"":{""driver"":false,""coDriver"":false}},""disputeSignedBy"":[],""dispute_signed_by"":[],""resolveDisputeCategory"":"""",""disputeResolutionStatus"":"""",""disputeResolutionLabel"":"""",""selectedDayId"":""day-2"",""selectedDayLabel"":""Day 2"",""selectedDayDate"":""Saturday, 30th May 2026"",""trackName"":""SATPUDA"",""category"":""Jimny SUV"",""srNo"":""1"",""teamName"":""DAKKHAN OFFROADERS"",""stickerNumber"":""47"",""driverName"":""RUDRA PATIL"",""coDriverName"":""ROHIT POWAR"",""completionTime"":""06:37:57"",""completionTimeMilliseconds"":397573,""performanceTimeDisplay"":""06:37:57"",""trackTimerLimitSeconds"":600,""trackTimerLimitDisplay"":""10:00.0"",""bustingCount"":""0"",""poleDownCount"":""3"",""seatbeltCount"":""0"",""groundTouchCount"":""0"",""lateStartMode"":"""",""lateStartStatus"":""No"",""lateStartPenaltyTime"":0,""lateStartPenaltyPoints"":0,""attemptCount"":""0"",""taskSkippedCount"":""1"",""isDNF"":false,""isDNS"":false,""wrongCourseSelected"":false,""fourthAttemptSelected"":false,""timeOverSelected"":false,""vehicleOutOfTrackSelected"":false,""vehicleBreakdownSelected"":false,""dnfSelection"":"""",""dnfPoints"":0,""bustingPenaltyTime"":0,""poleDownPenaltyTime"":60,""seatbeltPenaltyTime"":0,""groundTouchPenaltyTime"":0,""attemptPenaltyTime"":0,""taskSkippedPenaltyTime"":90,""totalPenaltiesTime"":150,""totalTimeMilliseconds"":547573,""totalTimeDisplay"":""09:07:57"",""selected_day_id"":""day-2"",""selected_day_label"":""Day 2"",""selected_day_date"":""Saturday, 30th May 2026""}"
JIMNY_SUV,Jimny SUV,2,19,Shark 919,Harkeerat ,Whabi,K2,day-1,Day 1,"Friday, 29th May 2026",DNS,0,0,0,,0,0,,,0,,,,0,,0,,,,0,,,0,,0,,1,,,,,,false,,,,,,,,,"{""id"":29,""team_name"":""Shark 919"",""driver_name"":""Harkeerat "",""driver_blood_group"":""B -ve"",""codriver_name"":""Whabi"",""codriver_blood_group"":""B +ve"",""car_number"":""19"",""category"":""Jimny SUV"",""vehicle_name"":"""",""vehicle_model"":"""",""socials"":"""",""status"":""CONFIRMED"",""created_at"":""2026-05-28 18:38:23"",""updated_at"":""2026-05-29 04:42:55"",""srNo"":2,""selectedTrack"":""K2"",""recordKey"":""29"",""selected_day_id"":""day-1"",""selectedDayId"":""day-1"",""selected_day_label"":""Day 1"",""selectedDayLabel"":""Day 1"",""selected_day_date"":""Friday, 29th May 2026"",""selectedDayDate"":""Friday, 29th May 2026"",""is_dns"":true,""bunting_count"":0,""pole_down_count"":0,""seatbelt_count"":0,""ground_touch_count"":0,""late_start_count"":0,""attempt_count"":0,""task_skipped_count"":0,""wrong_course_count"":0,""fourth_attempt_count"":0,""vehicle_breakdown_selected"":false,""vehicleBreakdownSelected"":false,""total_penalties_time"":0,""performance_time"":""0"",""total_time"":""0""}"
JIMNY_SUV,Jimny SUV,2,19,Shark 919,Harkeerat ,Whabi,EVEREST,day-1,Day 1,"Friday, 29th May 2026",DNS,0,0,0,,0,0,,,0,,,,0,,0,,,,0,,,0,,0,,1,,,,,,false,,,,,,,,,"{""id"":29,""team_name"":""Shark 919"",""driver_name"":""Harkeerat "",""driver_blood_group"":""B -ve"",""codriver_name"":""Whabi"",""codriver_blood_group"":""B +ve"",""car_number"":""19"",""category"":""Jimny SUV"",""vehicle_name"":"""",""vehicle_model"":"""",""socials"":"""",""status"":""CONFIRMED"",""created_at"":""2026-05-28 18:38:23"",""updated_at"":""2026-05-29 04:42:55"",""srNo"":2,""selectedTrack"":""EVEREST"",""recordKey"":""29"",""selected_day_id"":""day-1"",""selectedDayId"":""day-1"",""selected_day_label"":""Day 1"",""selectedDayLabel"":""Day 1"",""selected_day_date"":""Friday, 29th May 2026"",""selectedDayDate"":""Friday, 29th May 2026"",""is_dns"":true,""bunting_count"":0,""pole_down_count"":0,""seatbelt_count"":0,""ground_touch_count"":0,""late_start_count"":0,""attempt_count"":0,""task_skipped_count"":0,""wrong_course_count"":0,""fourth_attempt_count"":0,""vehicle_breakdown_selected"":false,""vehicleBreakdownSelected"":false,""total_penalties_time"":0,""performance_time"":""0"",""total_time"":""0""}"
JIMNY_SUV,Jimny SUV,1,19,Shark 919,Harkeerat ,Whabi,SAHYADRI,day-2,Day 2,"Saturday, 30th May 2026",DNS,0,0,0,,0,0,,,0,,,,0,,0,,,,0,,,0,,0,,1,,,,,,false,,,,,,,,,"{""id"":29,""team_name"":""Shark 919"",""driver_name"":""Harkeerat "",""driver_blood_group"":""B -ve"",""codriver_name"":""Whabi"",""codriver_blood_group"":""B +ve"",""car_number"":""19"",""category"":""Jimny SUV"",""vehicle_name"":"""",""vehicle_model"":"""",""socials"":"""",""status"":""CONFIRMED"",""created_at"":""2026-05-28 18:38:23"",""updated_at"":""2026-05-30 03:41:56"",""srNo"":1,""selectedTrack"":""SAHYADRI"",""recordKey"":""29"",""selected_day_id"":""day-2"",""selectedDayId"":""day-2"",""selected_day_label"":""Day 2"",""selectedDayLabel"":""Day 2"",""selected_day_date"":""Saturday, 30th May 2026"",""selectedDayDate"":""Saturday, 30th May 2026"",""is_dns"":true,""bunting_count"":0,""pole_down_count"":0,""seatbelt_count"":0,""ground_touch_count"":0,""late_start_count"":0,""attempt_count"":0,""task_skipped_count"":0,""wrong_course_count"":0,""fourth_attempt_count"":0,""vehicle_breakdown_selected"":false,""vehicleBreakdownSelected"":false,""total_penalties_time"":0,""performance_time"":""0"",""total_time"":""0""}"
